City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,Road Town,18.4167,-64.6167,86.09,74,40,10.36,VG,2022-09-28 14:23:49
339,Staryy Nadym,65.6118,72.6842,28.08,70,74,8.5,RU,2022-09-28 14:23:49
340,Muli,2.9167,73.5667,79.48,80,62,16.13,MV,2022-09-28 14:23:49
341,Iqaluit,63.7506,-68.5145,33.53,69,75,19.57,CA,2022-09-28 14:23:49
342,Kazachinskoye,57.6953,93.2761,35.29,94,100,5.97,RU,2022-09-28 14:23:50
343,Harnosand,62.6323,17.9379,53.6,76,85,7.76,SE,2022-09-28 14:23:50
344,Birecik,37.0294,37.9903,87.01,12,7,6.2,TR,2022-09-28 14:23:50
345,Ndele,8.4109,20.6473,82.94,65,99,2.98,CF,2022-09-28 14:23:51
346,Zhanakorgan,43.9098,67.2495,60.93,32,40,10.65,KZ,2022-09-28 14:23:51
347,San Felipe,10.3399,-68.7425,81.36,72,96,2.17,VE,2022-09-28 14:23:51
348,Te Anau,-45.4167,167.7167,52.34,97,100,1.66,NZ,2022-09-28 14:23:51
349,San Luis,-33.295,-66.3356,56.08,66,100,5.39,AR,2022-09-28 14:23:52
350,Cabo San Lucas,22.8909,-109.9124,82.51,90,0,2.33,MX,2022-09-28 14:23:32
351,Wittingen,52.7269,10.7361,48.67,86,100,4.03,DE,2022-09-28 14:23:52
352,Umm Lajj,25.0213,37.2685,88.0,61,2,4.88,SA,2022-09-28 14:23:53
353,Kostroma,57.7708,40.9344,40.23,92,100,17.6,RU,2022-09-28 14:21:26
354,Gaoual,11.75,-13.2,84.92,76,100,3.56,GN,2022-09-28 14:23:53
355,Saint George,37.1041,-113.5841,72.79,45,0,5.75,US,2022-09-28 14:20:37
356,Rio Grande,-32.035,-52.0986,69.91,65,12,13.91,BR,2022-09-28 14:23:53
357,Marsh Harbour,26.5412,-77.0636,81.19,84,100,22.17,BS,2022-09-28 14:23:53
358,Ayr,55.4627,-4.6339,58.32,62,75,13.8,GB,2022-09-28 14:23:54
359,Montbrison,45.6667,4.0833,57.54,85,97,6.38,FR,2022-09-28 14:23:54
360,Visby,57.6409,18.296,55.62,71,40,20.71,SE,2022-09-28 14:23:54
361,Novikovo,51.1537,37.8879,60.35,82,98,6.13,RU,2022-09-28 14:23:55
362,Gobabis,-22.45,18.9667,91.65,12,11,8.84,NA,2022-09-28 14:23:56
363,Fuxin,42.0156,121.6589,64.4,82,5,6.49,CN,2022-09-28 14:23:56
364,Ola,59.5833,151.2833,39.15,93,100,16.62,RU,2022-09-28 14:23:56
365,Sabang,5.8933,95.3214,79.47,82,100,28.27,ID,2022-09-28 14:23:57
366,Porto Belo,-27.1578,-48.5531,71.1,69,100,14.27,BR,2022-09-28 14:23:57
367,Kavaratti,10.5669,72.642,81.84,74,88,16.2,IN,2022-09-28 14:23:57
368,Sitio Novo Do Tocantins,-5.5183,-47.4611,84.13,70,100,4.61,BR,2022-09-28 14:23:58
369,Ronneby,56.21,15.276,52.3,100,100,5.75,SE,2022-09-28 14:24:58
370,Usinsk,65.9939,57.5281,31.01,70,43,8.43,RU,2022-09-28 14:24:18
371,Touros,-5.1989,-35.4608,84.6,53,6,17.11,BR,2022-09-28 14:24:58
372,Boden,65.8252,21.6886,50.0,90,100,2.48,SE,2022-09-28 14:24:58
373,Vao,-22.6667,167.4833,74.08,78,94,14.88,NC,2022-09-28 14:24:59
374,Isla Vista,34.4133,-119.861,73.02,92,0,0.0,US,2022-09-28 14:24:59
